OBJECTID,hohe,flaeche,dachflaeche,volume,buildup,imprevious,grass,baeumedichte,DGM,NDVI
91737.0,6.539999962,2.029591249,2.030457756,13.27352677,1.0,100.0,0.0,0.0,302.147522,0.305920184
103292.0,10.9204998,153.3896566,195.5249182,1696.542372,1.0,72.0,0.0,0.0,303.3112793,0.349462122
74002.0,25.44499969,7.335753001,7.335769308,186.6582351,0.0,85.0,0.0,0.0,322.6880188,0.264416546
89600.0,4.772999763,13.33532695,13.39928168,39.74463068,1.0,70.0,0.0,0.0,308.6965332,0.372040153
90273.0,9.859999657,276.4096901,283.7644074,2725.399544,1.0,100.0,0.0,0.0,293.9910278,0.235779539
26557.0,4.880333424,93.59672121,103.0470539,692.9607202,0.0,24.0,0.0,0.0,370.1232605,0.599923849
102559.0,10.10999966,25.76520356,42.40575603,260.486208,0.0,0.0,0.0,68.0,360.0337524,0.627673686
84991.0,9.392999649,40.59081426,40.59082167,381.2695184,1.0,93.0,0.0,0.0,301.1947632,0.281812459
34850.0,8.55850029,399.093754,399.0939878,2986.566867,1.0,100.0,0.0,0.0,291.2030029,0.124297284
83995.0,9.300000191,400.0,399.9988742,3720.0,1.0,100.0,0.0,0.0,298.7562561,0.007729744
82749.0,12.43799973,169.221716,240.4325265,2975.582773,0.0,2.0,0.0,0.0,431.4315186,0.634915888
76938.0,14.41600037,154.788831,155.4660111,2231.435788,1.0,55.0,0.0,0.0,294.2687683,0.307595372
47180.0,12.9005003,204.676943,263.7010763,2787.658156,0.0,40.0,0.0,0.0,321.4082642,0.374741852
112376.0,6.84100008,35.61972919,39.19761744,243.6745674,1.0,41.0,0.0,0.0,320.8330078,0.56966871
96074.0,14.24100018,208.0853554,215.8970027,3334.356134,1.0,93.0,0.0,0.0,299.2952576,0.374723077
9421.0,12.86299992,93.29710389,107.9479112,1281.010131,1.0,80.0,0.0,0.0,351.7030029,0.357943684
88910.0,21.54999924,179.1784587,179.2710433,3861.295784,1.0,91.0,0.0,0.0,308.1235352,0.596188962
89696.0,12.39050007,7.534679699,8.666855401,93.33026253,0.0,24.0,1.0,0.0,294.0305176,0.629212737
44232.0,6.208000183,92.45177485,136.467367,919.5098457,0.0,8.0,0.0,48.0,352.5922546,0.55789268
33395.0,7.414999962,63.9044542,77.46007476,657.4963579,0.0,0.0,0.0,0.0,329.2877808,0.648524702
33327.0,8.173000336,251.5646374,289.013056,2190.476638,1.0,92.0,0.0,0.0,323.8980103,0.577618957
10522.0,10.5284996,28.92986082,35.81765648,307.6954707,0.0,27.0,0.0,21.0,295.1552734,0.537980795
32790.0,18.27000046,263.64,278.2528265,4816.7028,1.0,100.0,0.0,0.0,289.0692749,0.117562696
47224.0,3.799999952,40.651818,40.65172006,154.4769084,1.0,100.0,0.0,0.0,291.8660278,0.203946784
58250.0,15.93999958,146.4859986,198.8956971,2334.986818,0.0,66.0,0.0,0.0,314.4725342,0.609783053
62621.0,12.56700039,0.975168001,1.212603657,12.25493626,1.0,56.0,0.0,0.0,363.0117798,0.403239071
50941.0,7.847599983,213.6595405,238.2565299,1643.554343,1.0,100.0,0.0,0.0,292.3212585,0.197456539
42162.0,21.68650055,383.3479958,384.9375862,7537.495912,1.0,100.0,0.0,0.0,299.0402527,0.138025001
14189.0,6.570000172,130.8121201,132.1122529,1021.279862,1.0,100.0,0.0,0.0,289.9462585,0.153007463
44953.0,10.90966702,41.2943248,50.45800101,454.8078315,0.0,33.0,1.0,0.0,345.4680176,0.388229519
52412.0,9.93200016,144.3864087,171.8690081,1434.045811,1.0,49.0,0.0,0.0,362.098999,0.6102584
13018.0,9.326999664,2.613488152,3.709267154,24.376004,0.0,20.0,0.0,0.0,289.4807739,0.636496246
81453.0,5.648250103,28.63398725,31.65569455,154.896466,1.0,62.0,0.0,0.0,302.5587769,0.424291134
17284.0,9.12899971,162.3181995,170.6613461,1101.889901,0.0,30.0,0.0,0.0,296.6690063,0.567122817
47540.0,5.032000065,71.92422645,84.26724409,444.0252926,1.0,49.0,0.0,0.0,325.0780029,0.526952386
9653.0,10.67000008,36.5488175,50.72200012,389.9758827,1.0,100.0,0.0,0.0,283.901001,0.323345929
36579.0,8.5,28.46131801,30.2803397,241.921203,0.0,0.0,0.0,0.0,341.3352661,0.434200853
45844.0,4.635000229,117.7687973,131.657137,804.1339647,0.0,10.0,0.0,0.0,374.6947632,0.729336023
34190.0,5.350249767,34.29579795,39.61554319,225.0423426,0.0,18.0,0.0,0.0,381.5655212,0.628053665
108844.0,13.70699978,49.3666884,49.36675127,676.669198,0.0,68.0,0.0,0.0,301.2537537,0.444331348
70623.0,8.993499756,136.8609557,145.9865306,1192.693596,0.0,35.0,0.0,0.0,334.5340271,0.677088499
38370.0,9.175999641,14.79041909,17.17236007,140.3909065,1.0,58.0,0.0,0.0,384.5737915,0.543834746
58735.0,11.13125038,105.2969024,139.1255577,1388.617877,1.0,68.0,0.0,0.0,290.4992676,0.518141627
8444.0,1.873999953,6.042197002,6.041999817,11.32307718,1.0,90.0,0.0,0.0,283.615509,0.367095053
81787.0,10.19999981,18.1681611,25.69529813,185.3152432,0.0,32.0,0.0,0.0,329.7065125,0.586220026
34185.0,9.600000381,152.8105354,207.5090314,1466.981139,1.0,53.0,0.0,0.0,373.8422546,0.409412116
61062.0,11.41366673,123.629322,154.7703561,1757.39882,0.0,36.0,0.0,0.0,313.9425049,0.449582666
75220.0,7.924250126,148.2991629,175.660313,1674.454103,1.0,79.0,0.0,0.0,291.335022,0.38926056
105476.0,6.070499897,103.9195966,117.3820295,663.9088048,0.0,29.0,0.0,0.0,305.6545105,0.305316776
1706.0,6.418499947,243.8617024,246.591631,1599.166411,1.0,78.0,0.0,0.0,287.5005188,0.445487618
25547.0,3.907999992,40.618225,40.61800003,158.7360233,0.0,9.0,0.0,69.0,314.9752808,0.640889704
55907.0,6.274333477,59.6511078,66.89439269,385.1137319,1.0,32.0,0.0,0.0,416.4610291,0.576214075
54308.0,9.829999924,5.373628771,5.376495539,52.82277082,0.0,20.0,0.0,0.0,327.9070129,0.608647943
8769.0,10.63399982,181.2755702,219.7714144,1927.684413,0.0,27.0,0.0,0.0,329.4400024,0.632540286
74726.0,4.844500065,11.9574098,13.21954791,56.8303401,1.0,30.0,0.0,0.0,329.652771,0.612064481
96675.0,7.744999886,116.1897276,135.5881197,1481.511548,0.0,17.0,0.0,28.0,296.1694946,0.353333116
11281.0,14.02000046,71.7382126,91.06492277,1005.769741,0.0,36.0,0.0,0.0,288.9612732,0.590304434
109312.0,8.142999649,293.6125433,298.0020223,2390.88694,1.0,100.0,0.0,0.0,319.4762573,0.126380727
40953.0,3.815500021,31.94981045,38.43263939,131.2495233,1.0,66.0,0.0,0.0,389.098999,0.616372228
86972.0,12.75500011,201.5936128,201.6879468,2571.326531,1.0,21.0,0.0,0.0,334.1962585,0.603853047
52846.0,12.69799995,17.723272,19.48574065,225.0501079,0.0,20.0,0.0,33.0,306.8327637,0.536431074
100303.0,5.391250134,112.1389003,112.2312761,341.4880104,1.0,98.0,0.0,0.0,305.4937744,0.466686785
49907.0,5.34100008,144.1720285,173.35654,973.9190119,0.0,39.0,0.0,0.0,374.7752686,0.555518746
59405.0,3.496999979,23.2284,25.64299965,81.22971479,0.0,0.0,0.0,0.0,430.2772827,0.552200675
122216.0,5.638000011,51.95499099,60.86590243,292.9222392,1.0,97.0,0.0,0.0,282.038269,0.235285491
18005.0,7.619999886,10.41727828,10.52499185,79.37966053,0.0,96.0,0.0,0.0,289.8840332,0.339516252
85420.0,6.605500221,8.278727401,8.53381837,45.54763689,0.0,82.0,0.0,0.0,330.8085022,0.484683186
42273.0,11.93000031,40.41012355,51.59464191,482.0927739,1.0,43.0,0.0,0.0,358.5915222,0.451735288
